,lat,lon,h
0,-3.0237037037037044,-2.4678074074074074,205
1,-3.0237037037037044,-2.514325925925926,209
2,-3.0237037037037044,-2.5259555555555555,212
3,-3.0237037037037044,-2.5375851851851854,203
4,-3.0237037037037044,-2.549214814814815,224
5,-3.0237037037037044,-2.5608444444444447,209
6,-3.0237037037037044,-2.572474074074074,212
7,-3.0237037037037044,-2.5841037037037036,218
8,-3.0237037037037044,-2.5957333333333334,214
9,-3.0237037037037044,-2.607362962962963,219
10,-3.0237037037037044,-2.6189925925925923,225
11,-3.0237037037037044,-2.6306222222222226,215
12,-3.0237037037037044,-2.642251851851852,202
13,-3.0237037037037044,-2.6538814814814815,214
14,-3.0237037037037044,-2.6655111111111114,227
15,-3.0237037037037044,-2.677140740740741,212
16,-3.0120740740740737,-1.7118814814814818,212
17,-3.0120740740740737,-1.7351407407407407,189
18,-3.0120740740740737,-1.7467703703703705,215
19,-3.0120740740740737,-1.7584,218
20,-3.0120740740740737,-1.7700296296296298,234
21,-3.0120740740740737,-1.7816592592592595,235
22,-3.0120740740740737,-1.7932888888888892,216
23,-3.0120740740740737,-1.8049185185185186,230
24,-3.0120740740740737,-1.828177777777778,187
25,-3.0120740740740737,-1.8398074074074076,232
26,-3.0120740740740737,-1.8514370370370374,241
27,-3.0120740740740737,-1.8630666666666669,189
28,-3.0120740740740737,-1.8746962962962963,233
29,-3.0120740740740737,-1.8863259259259262,200
30,-3.0120740740740737,-1.8979555555555556,221
31,-3.0120740740740737,-1.9095851851851853,222
32,-3.0120740740740737,-1.9212148148148152,142
33,-3.0120740740740737,-1.9328444444444444,122
34,-3.0120740740740737,-1.944474074074074,166
35,-3.0120740740740737,-1.956103703703704,212
36,-3.0120740740740737,-1.9677333333333333,227
37,-3.0120740740740737,-1.9793629629629632,230
38,-3.0120740740740737,-1.9909925925925926,217
39,-3.0120740740740737,-2.002622222222222,200
40,-3.0120740740740737,-2.014251851851852,219
41,-3.0120740740740737,-2.025881481481482,219
42,-3.0120740740740737,-2.3631407407407408,208
43,-3.0120740740740737,-2.37477037037037,211
44,-3.0120740740740737,-2.39802962962963,205
45,-3.0120740740740737,-2.4096592592592594,205
46,-3.0120740740740737,-2.4329185185185187,205
47,-3.0120740740740737,-2.456177777777778,208
48,-3.0120740740740737,-2.4678074074074074,211
49,-3.0120740740740737,-2.479437037037037,212
50,-3.0120740740740737,-2.4910666666666668,212
51,-3.0120740740740737,-2.5026962962962966,212
52,-3.0120740740740737,-2.514325925925926,214
53,-3.0120740740740737,-2.5259555555555555,214
54,-3.0120740740740737,-2.5375851851851854,214
55,-3.0120740740740737,-2.5608444444444447,127
56,-3.0120740740740737,-2.572474074074074,214
57,-3.0120740740740737,-2.5841037037037036,208
58,-3.0120740740740737,-2.5957333333333334,197
59,-3.0120740740740737,-2.607362962962963,187
60,-3.0120740740740737,-2.6189925925925923,190
61,-3.0120740740740737,-2.6306222222222226,203
62,-3.0120740740740737,-2.642251851851852,202
63,-3.0120740740740737,-2.6538814814814815,215
64,-3.0120740740740737,-2.677140740740741,201
65,-3.0120740740740737,-2.6887703703703703,225
66,-3.0120740740740737,-2.7004,203
67,-3.0120740740740737,-2.71202962962963,200
68,-3.0120740740740737,-2.735288888888889,205
69,-3.0120740740740737,-2.7469185185185188,205
70,-3.0120740740740737,-2.758548148148148,205
71,-3.0004444444444447,-1.5955851851851852,219
72,-3.0004444444444447,-1.6072148148148149,233
73,-3.0004444444444447,-1.6188444444444445,213
74,-3.0004444444444447,-1.6304740740740742,220
75,-3.0004444444444447,-1.6537333333333335,209
76,-3.0004444444444447,-1.665362962962963,230
77,-3.0004444444444447,-1.6769925925925928,202
78,-3.0004444444444447,-1.6886222222222222,227
79,-3.0004444444444447,-1.700251851851852,161
80,-3.0004444444444447,-1.7118814814814818,233
81,-3.0004444444444447,-1.7235111111111112,147
82,-3.0004444444444447,-1.7351407407407407,224
83,-3.0004444444444447,-1.7467703703703705,204
84,-3.0004444444444447,-1.7584,222
85,-3.0004444444444447,-1.7700296296296298,156
86,-3.0004444444444447,-1.7816592592592595,203
87,-3.0004444444444447,-1.7932888888888892,145
88,-3.0004444444444447,-1.8049185185185186,168
89,-3.0004444444444447,-1.8165481481481482,222
90,-3.0004444444444447,-1.828177777777778,230
91,-3.0004444444444447,-1.8398074074074076,169
92,-3.0004444444444447,-1.8514370370370374,185
93,-3.0004444444444447,-1.8630666666666669,166
94,-3.0004444444444447,-1.8746962962962963,158
95,-3.0004444444444447,-1.8863259259259262,158
96,-3.0004444444444447,-1.8979555555555556,134
97,-3.0004444444444447,-1.9095851851851853,135
98,-3.0004444444444447,-1.9212148148148152,186
99,-3.0004444444444447,-1.9328444444444444,151
100,-3.0004444444444447,-1.944474074074074,203
101,-3.0004444444444447,-1.956103703703704,209
102,-3.0004444444444447,-1.9677333333333333,215
103,-3.0004444444444447,-1.9793629629629632,203
104,-3.0004444444444447,-1.9909925925925926,216
105,-3.0004444444444447,-2.002622222222222,222
106,-3.0004444444444447,-2.014251851851852,212
107,-3.0004444444444447,-2.025881481481482,195
108,-3.0004444444444447,-2.0375111111111113,211
109,-3.0004444444444447,-2.1072888888888888,177
110,-3.0004444444444447,-2.1189185185185186,186
111,-3.0004444444444447,-2.130548148148148,209
112,-3.0004444444444447,-2.1421777777777775,212
113,-3.0004444444444447,-2.1538074074074074,186
114,-3.0004444444444447,-2.1654370370370373,220
115,-3.0004444444444447,-2.1770666666666667,223
116,-3.0004444444444447,-2.1886962962962966,216
117,-3.0004444444444447,-2.200325925925926,214
118,-3.0004444444444447,-2.2235851851851853,227
119,-3.0004444444444447,-2.2352148148148148,157
120,-3.0004444444444447,-2.2817333333333334,219
121,-3.0004444444444447,-2.2933629629629633,214
122,-3.0004444444444447,-2.3049925925925927,219
123,-3.0004444444444447,-2.3166222222222226,223
124,-3.0004444444444447,-2.328251851851852,220
125,-3.0004444444444447,-2.3631407407407408,182
126,-3.0004444444444447,-2.37477037037037,196
127,-3.0004444444444447,-2.3864000000000005,214
128,-3.0004444444444447,-2.39802962962963,220
129,-3.0004444444444447,-2.4096592592592594,225
130,-3.0004444444444447,-2.4212888888888893,223
131,-3.0004444444444447,-2.4329185185185187,221
132,-3.0004444444444447,-2.444548148148148,225
133,-3.0004444444444447,-2.456177777777778,222
134,-3.0004444444444447,-2.4678074074074074,219
135,-3.0004444444444447,-2.479437037037037,216
136,-3.0004444444444447,-2.4910666666666668,214
137,-3.0004444444444447,-2.5026962962962966,203
138,-3.0004444444444447,-2.514325925925926,211
139,-3.0004444444444447,-2.5259555555555555,221
140,-3.0004444444444447,-2.5375851851851854,222
141,-3.0004444444444447,-2.5608444444444447,217
142,-3.0004444444444447,-2.572474074074074,224
143,-3.0004444444444447,-2.5841037037037036,103
144,-3.0004444444444447,-2.5957333333333334,127
145,-3.0004444444444447,-2.607362962962963,200
146,-3.0004444444444447,-2.6189925925925923,212
147,-3.0004444444444447,-2.642251851851852,233
148,-3.0004444444444447,-2.6538814814814815,225
149,-3.0004444444444447,-2.6655111111111114,225
150,-3.0004444444444447,-2.677140740740741,223
151,-3.0004444444444447,-2.6887703703703703,227
152,-3.0004444444444447,-2.7004,224
153,-3.0004444444444447,-2.7469185185185188,205
154,-3.0004444444444447,-2.805066666666667,205
155,-2.988814814814815,-1.5025481481481484,221
156,-2.988814814814815,-1.5141777777777778,215
157,-2.988814814814815,-1.5839555555555558,190
158,-2.988814814814815,-1.5955851851851852,172
159,-2.988814814814815,-1.6072148148148149,190
160,-2.988814814814815,-1.6188444444444445,184
161,-2.988814814814815,-1.642103703703704,147
162,-2.988814814814815,-1.6537333333333335,122
163,-2.988814814814815,-1.665362962962963,231
164,-2.988814814814815,-1.6769925925925928,232
165,-2.988814814814815,-1.6886222222222222,221
166,-2.988814814814815,-1.700251851851852,181
167,-2.988814814814815,-1.7118814814814818,126
168,-2.988814814814815,-1.7235111111111112,122
169,-2.988814814814815,-1.7351407407407407,91
170,-2.988814814814815,-1.7467703703703705,127
171,-2.988814814814815,-1.7584,123
172,-2.988814814814815,-1.7700296296296298,125
173,-2.988814814814815,-1.7932888888888892,241
174,-2.988814814814815,-1.8049185185185186,220
175,-2.988814814814815,-1.8165481481481482,220
176,-2.988814814814815,-1.828177777777778,139
177,-2.988814814814815,-1.8398074074074076,197
178,-2.988814814814815,-1.8514370370370374,217
179,-2.988814814814815,-1.8630666666666669,215
180,-2.988814814814815,-1.8863259259259262,190
181,-2.988814814814815,-1.8979555555555556,175
182,-2.988814814814815,-1.9095851851851853,225
183,-2.988814814814815,-1.9212148148148152,224
184,-2.988814814814815,-1.9328444444444444,149
185,-2.988814814814815,-1.944474074074074,157
186,-2.988814814814815,-1.9677333333333333,229
187,-2.988814814814815,-1.9793629629629632,170
188,-2.988814814814815,-1.9909925925925926,124
189,-2.988814814814815,-2.08402962962963,217
190,-2.988814814814815,-2.0956592592592593,214
191,-2.988814814814815,-2.1072888888888888,216
192,-2.988814814814815,-2.1189185185185186,211
193,-2.988814814814815,-2.130548148148148,216
194,-2.988814814814815,-2.1421777777777775,220
195,-2.988814814814815,-2.1538074074074074,219
196,-2.988814814814815,-2.1654370370370373,218
197,-2.988814814814815,-2.1770666666666667,216
198,-2.988814814814815,-2.1886962962962966,218
199,-2.988814814814815,-2.200325925925926,168
200,-2.988814814814815,-2.2119555555555555,184
201,-2.988814814814815,-2.2235851851851853,218
202,-2.988814814814815,-2.2352148148148148,217
203,-2.988814814814815,-2.2468444444444446,215
204,-2.988814814814815,-2.2584740740740745,216
205,-2.988814814814815,-2.270103703703704,215
